Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,month,year,weekday,No_of_Week
41.0,57,0,10,0,28,0.0,,13.0,1928.0,4901.0,3769.49265,9,2015,3,39
41.0,11,1,8,3,55,0.0,293.0,9.0,524.0,2334.0,1712.260944,3,2016,1,13
33.0,469,1,1,0,92,1.0,167.0,12.0,3430.0,4643.0,622.1609856000001,12,2015,0,50
13.0,65,1,9,2,85,0.0,,6.0,5337.0,7427.0,6847.781248,8,2015,5,33
16.0,444,1,9,2,39,0.0,587.0,7.0,7962.0,11410.0,10254.08055,11,2015,4,47
41.0,24,0,4,0,49,0.0,233.0,12.0,3550.0,4988.0,4478.274432,5,2015,1,19
31.0,3,1,7,0,62,0.0,319.0,14.0,3492.0,5185.0,4616.9343,3,2016,2,13
37.0,14,1,8,0,92,1.0,255.0,7.0,3613.0,7170.91650390625,685.6183488,11,2015,2,46
14.0,469,0,9,2,53,0.0,622.0,16.0,3543.0,4563.0,4651.5185280000005,9,2015,1,39
7.0,147,0,9,2,40,0.0,458.0,15.0,919.0,2341.0,2043.4051,9,2015,1,39
33.0,441,1,4,2,23,0.0,206.0,15.0,5807.0,8177.0,7190.468775,8,2015,5,33
4.0,453,1,5,0,62,0.0,253.0,11.0,4858.0,11930.0546875,6164.2944,2,2015,5,9
5.0,23,1,3,2,2,0.0,256.0,14.0,5120.0,13296.0,9475.942311,11,2014,5,45
38.0,455,1,2,0,88,0.0,113.0,7.0,2679.0,7560.64111328125,3796.156672,9,2015,4,39
21.0,78,1,7,2,10,0.0,290.0,16.0,2119.0,4463.0,3585.9113729999995,9,2015,4,39
18.0,62,1,2,0,31,1.0,130.0,8.0,2327.0,7170.0,730.5141375,2,2016,6,8
4.0,55,1,1,0,37,0.0,139.0,6.0,3569.0,4729.0,4279.763775,11,2015,3,46
10.0,188,1,6,0,93,0.0,155.0,11.0,4581.0,6320.0,5530.6944,8,2015,5,33
20.0,73,1,7,0,16,0.0,342.0,13.0,1394.0,1932.0,2006.959284,5,2015,2,21
45.0,94,1,7,0,36,1.0,340.0,9.0,1398.0,6115.0,613.4445450000001,5,2015,5,19
20.0,55,0,9,0,100,0.0,607.0,10.0,1758.0,4080.0,3449.5193,10,2015,3,42
17.0,188,1,6,0,48,0.0,124.0,5.0,2973.0,5171.0,4171.172544,3,2016,2,13
14.0,198,1,10,2,28,1.0,351.0,15.0,4438.0,6286.0,856.0106099999999,8,2015,5,33
11.0,452,0,1,0,59,0.0,123.0,14.0,4915.0,6496.0,5799.136464,5,2015,4,21
44.0,249,0,6,0,79,0.0,194.0,10.0,4200.0,6731.0,5608.3203,3,2016,1,13
13.0,118,1,9,0,94,0.0,553.0,12.0,1061.0,4693.0,3384.0083200000004,9,2015,2,39
27.0,3,1,7,0,83,0.0,303.0,14.0,1731.0,3176.0,2720.187008,9,2015,1,39
21.0,65,1,1,2,3,0.0,121.0,10.0,6508.0,9899.0,8331.86673,3,2016,1,13
6.0,403,1,5,0,63,1.0,277.0,10.0,1703.0,2847.0,379.31057999999996,9,2015,2,39
1.0,55,1,2,0,74,0.0,132.0,8.0,1269.0,3468.0,2477.3661,9,2015,2,39
45.0,416,1,4,2,39,1.0,251.0,15.0,3493.0,10402.0,1078.634655,3,2016,1,13
31.0,469,1,6,0,45,0.0,115.0,10.0,3535.0,4637.0,4178.177424,9,2015,5,39
22.0,447,1,2,0,41,0.0,138.0,7.0,6173.0,7365.0,6867.504864,8,2015,2,34
39.0,452,1,4,0,11,1.0,286.0,14.0,4825.0,6716.0,909.5960312999999,8,2015,5,33
18.0,211,1,6,0,23,0.0,128.0,6.0,6365.0,8920.0,7755.652275,3,2016,0,13
50.0,450,1,3,0,62,0.0,310.0,9.0,890.0,3390.549560546875,1795.7115,8,2015,4,34
31.0,23,1,3,0,80,0.0,295.0,7.0,3073.0,5246.0,4357.118275,8,2015,5,34
41.0,131,0,6,0,41,0.0,181.0,5.0,2331.0,6115.0,4377.910896,10,2014,4,43
9.0,441,0,8,0,16,0.0,221.0,5.0,3548.0,5097.0,4545.205434,9,2015,1,39
49.0,186,1,2,2,51,1.0,138.0,8.0,2926.0,3912.0,530.5436496,11,2015,1,46
23.0,460,0,5,3,82,,213.0,17.0,252.0,2451.9716796875,539.684992,12,2014,5,49
25.0,100,0,5,0,86,0.0,252.0,14.0,1459.0,3491.0,2691.141376,9,2015,3,39
32.0,452,0,6,0,99,1.0,196.0,10.0,3940.0,5045.0,693.8116416,1,2016,0,1
5.0,441,0,7,2,88,0.0,305.0,6.0,5932.0,8910.0,7619.13152,8,2015,2,34
1.0,11,0,2,3,94,0.0,125.0,6.0,388.0,1356.0,983.1557119999999,5,2015,3,19
46.0,358,1,7,3,96,0.0,,14.0,2547.0,16625.62890625,6627.115264,9,2015,2,39
3.0,456,0,3,0,6,0.0,277.0,14.0,2801.0,6476.0,4921.4978009999995,9,2015,5,39
48.0,3,0,10,0,72,0.0,390.0,17.0,1824.0,2674.0,2616.3918,9,2015,2,39
49.0,20,0,10,0,70,0.0,386.0,,8501.0,13189.0,11135.8665,5,2015,2,19
29.0,58,1,10,0,21,0.0,392.0,12.0,4537.0,6321.0,5812.941225,12,2015,6,49
36.0,283,1,5,0,88,0.0,225.0,14.0,1708.0,8657.0,5336.787456,11,2015,4,47
8.0,100,1,5,0,50,0.0,295.0,16.0,1351.0,2346.0,2132.722656,8,2015,3,34
11.0,358,1,5,3,89,0.0,271.0,10.0,3694.0,13810.0,8901.6928,5,2015,3,19
22.0,152,1,6,0,91,0.0,137.0,1.0,10202.0,23712.232421875,11883.566464,11,2015,4,47
45.0,61,1,8,2,37,0.0,232.0,9.0,6997.0,9722.0,8577.52245,9,2015,2,39
15.0,447,1,5,0,76,0.0,273.0,13.0,5836.0,8021.0,7138.4049,8,2015,0,34
32.0,224,1,7,0,44,1.0,314.0,14.0,2737.0,6089.0,705.4331472,3,2016,0,13
2.0,3,1,9,0,62,0.0,605.0,11.0,1705.0,2885.0,2873.4948,9,2015,3,39
26.0,14,1,5,0,77,0.0,233.0,16.0,3633.0,4697.0,4360.6134,9,2015,4,39
35.0,23,1,1,2,98,0.0,131.0,14.0,2371.0,10588.0,6524.248192,9,2015,4,39
21.0,446,0,1,0,23,1.0,151.0,8.0,5162.0,6946.0,929.14731,5,2015,4,19
29.0,83,0,5,0,90,1.0,218.0,,1332.0,4921.0,495.1442496,8,2015,2,34
33.0,45,0,2,0,16,0.0,111.0,6.0,2631.0,5354.0,4105.48941,1,2016,1,1
47.0,40,0,6,0,22,0.0,116.0,11.0,4751.0,6715.0,5840.671725,3,2016,0,10
2.0,3,0,8,0,4,0.0,255.0,9.0,1907.0,3688.0,3054.714498,1,2016,1,1
13.0,23,0,9,2,77,0.0,519.0,5.0,1042.0,3914.0,2968.2576,9,2015,3,39
22.0,451,1,10,0,94,0.0,386.0,16.0,5155.0,10979.021484375,6074.972288,9,2015,4,39
18.0,199,0,4,0,52,1.0,208.0,17.0,4413.0,6450.0,841.8867192,2,2016,0,6
22.0,448,0,9,0,38,0.0,638.0,8.0,2357.0,3469.0,3544.446675,2,2016,0,6
15.0,65,1,5,2,73,1.0,281.0,10.0,948.0,3224.0,351.809865,9,2015,1,39
31.0,101,1,6,0,33,0.0,101.0,9.0,1651.0,2149.0,1997.703225,3,2016,5,9
49.0,452,1,10,0,2,0.0,363.0,15.0,4398.0,6010.0,5574.252519,5,2015,5,19
31.0,283,0,6,0,68,0.0,142.0,3.0,2367.0,4798.0,3688.3143,5,2015,2,19
37.0,452,0,6,0,33,0.0,107.0,5.0,3917.0,5548.0,4829.765325,1,2016,1,1
16.0,57,1,3,0,54,0.0,206.0,13.0,3861.0,7378.0,5795.4800159999995,5,2015,4,19
18.0,13,1,4,3,86,0.0,259.0,15.0,567.0,2560.0,1798.5721600000002,5,2015,1,19
45.0,65,1,8,2,1,0.0,292.0,5.0,3223.0,5032.0,4421.117843999999,11,2015,4,46
9.0,469,1,3,0,88,0.0,220.0,14.0,5351.0,8243.0,6925.338112,8,2015,5,33
27.0,57,1,4,0,51,0.0,256.0,14.0,2655.0,5644.0,4383.077616,9,2015,5,39
46.0,113,0,2,0,15,0.0,111.0,6.0,962.0,4535.0,2860.863885,8,2015,6,34
2.0,441,0,8,0,18,0.0,205.0,7.0,5941.0,8209.0,7284.2215049999995,8,2015,0,34
4.0,104,1,1,0,54,0.0,,13.0,1042.0,6967.0,4089.3694560000004,8,2015,2,34
10.0,452,1,8,0,29,0.0,215.0,9.0,4666.0,6332.0,5704.652625,5,2015,5,19
33.0,24,1,9,0,81,0.0,585.0,12.0,3603.0,4891.0,4767.4457600000005,9,2015,3,39
14.0,87,0,1,0,31,0.0,124.0,16.0,4927.0,7073.0,6118.266,8,2015,6,33
15.0,23,1,7,0,3,0.0,284.0,15.0,1974.0,3602.0,3075.872382,9,2015,2,39
5.0,23,1,8,2,36,0.0,227.0,6.0,2572.0,8271.0,5637.620625,9,2015,4,39
41.0,444,1,1,1,40,0.0,162.0,13.0,5664.0,7465.0,6583.491825,5,2015,3,21
50.0,137,1,3,0,91,0.0,270.0,6.0,4806.0,17578.0,11303.570431999999,3,2016,6,12
50.0,73,0,7,0,78,0.0,293.0,14.0,642.0,1365.0,1284.921,9,2015,1,37
31.0,116,1,2,0,31,0.0,123.0,6.0,3962.0,5098.0,4644.0807,3,2016,1,13
40.0,444,1,10,1,96,0.0,359.0,14.0,6033.0,8529.0,7540.027264,8,2015,1,34
4.0,452,1,8,0,46,0.0,242.0,4.0,3186.0,8749.0,6172.133904,3,2016,2,11
2.0,447,0,10,0,82,0.0,399.0,15.0,3065.0,4239.0,3998.0666880000003,5,2015,2,19
41.0,1,0,10,0,60,0.0,385.0,14.0,3016.0,4822.0,4212.526475,5,2015,2,19
9.0,14,0,7,0,84,0.0,325.0,17.0,2951.0,7021.27490234375,3864.14336,9,2015,2,39
48.0,90,1,8,0,48,1.0,255.0,6.0,904.0,3059.0,333.50531760000007,3,2016,0,13
15.0,55,1,6,0,42,0.0,148.0,10.0,1322.0,2796.0,2194.922016,9,2015,1,39
36.0,452,1,5,0,51,0.0,,16.0,5875.0,7633.0,6981.838416,8,2015,0,34
48.0,358,1,5,3,80,0.0,231.0,12.0,3405.0,11573.0,7555.087725,12,2015,3,49
46.0,127,0,10,0,95,1.0,373.0,12.0,2053.0,2788.0,413.41977599999996,9,2015,4,39
13.0,358,0,10,3,33,0.0,354.0,16.0,6040.0,16175.0,11450.571825,11,2015,3,47
29.0,358,1,5,3,87,0.0,201.0,15.0,3398.0,14857.0,9207.662464,11,2015,2,46
28.0,23,1,4,2,63,0.0,277.0,14.0,1360.0,3230.0,2549.4579,9,2015,1,39
22.0,23,1,6,2,12,0.0,102.0,5.0,1390.0,5665.0,3630.896874,10,2014,5,42
32.0,14,1,3,0,48,0.0,201.0,9.0,4263.0,9551.7783203125,5152.292928,5,2015,6,21
20.0,3,0,10,0,83,0.0,371.0,12.0,2095.0,3959.0,3352.646528,9,2015,5,39
31.0,93,1,9,2,78,0.0,534.0,6.0,1795.0,4289.0,3542.0517,11,2015,5,47
11.0,55,0,2,0,42,0.0,139.0,6.0,1256.0,3105.0,2305.956816,9,2015,1,39
3.0,103,0,3,2,81,1.0,318.0,12.0,5888.0,12693.697265625,1163.360352,8,2015,0,34
13.0,447,1,2,0,16,0.0,117.0,7.0,2919.0,4430.0,3793.690593,9,2015,3,39
3.0,93,1,2,2,97,0.0,135.0,9.0,2019.0,5655.0,3918.2035200000005,12,2015,5,49
20.0,58,1,8,0,94,1.0,265.0,1.0,4621.0,6402.0,854.0790720000001,1,2016,6,53
37.0,268,1,10,2,86,1.0,357.0,13.0,1571.0,5284.0,560.1598464,3,2016,1,13
18.0,14,1,3,0,90,0.0,259.0,7.0,4289.0,5772.0,5216.800512,3,2016,2,13
45.0,45,0,3,0,15,0.0,,5.0,2816.0,5683.0,4465.173438000001,9,2015,5,39
4.0,23,0,7,2,49,0.0,256.0,12.0,858.0,6498.0,3913.2041759999997,11,2015,4,47
23.0,446,0,7,0,95,0.0,311.0,17.0,5432.0,6792.0,6340.749184,11,2015,6,46
5.0,446,0,10,0,13,1.0,390.0,11.0,4109.0,5588.0,786.49584255,10,2015,2,43
12.0,152,1,3,0,24,0.0,210.0,13.0,2026.0,2612.0,2525.679975,9,2015,4,39
10.0,116,1,8,0,34,0.0,256.0,8.0,4826.0,6609.0,5963.124825,3,2016,0,13
22.0,11,0,7,3,57,0.0,272.0,15.0,506.0,995.0,1017.078768,3,2016,6,10
24.0,58,0,8,0,31,0.0,293.0,2.0,4022.0,5789.0,5186.4813,2,2016,0,8
6.0,55,0,3,0,76,0.0,218.0,7.0,1803.0,3508.0,2846.6064,9,2015,5,39
45.0,448,1,6,0,46,0.0,135.0,5.0,2364.0,3459.0,3028.453056,1,2016,4,3
21.0,105,1,2,0,46,0.0,134.0,,922.0,3518.0,2340.9216,11,2015,5,47
17.0,211,1,4,0,78,0.0,266.0,13.0,1723.0,3457.0,2830.7763,8,2015,5,34
42.0,13,0,3,3,54,0.0,328.0,11.0,393.0,2721.0,1874.6350559999998,5,2015,1,19
2.0,14,1,2,0,18,0.0,110.0,7.0,3037.0,3944.0,3602.5797060000004,9,2015,1,39
50.0,65,1,8,2,72,0.0,221.0,,4805.0,6772.0,5949.9792,5,2015,5,19
34.0,165,1,7,0,47,0.0,322.0,8.0,1808.0,3050.0,2735.321184,9,2015,5,39
25.0,283,1,9,0,68,0.0,639.0,14.0,2369.0,7595.0,5571.6903,5,2015,3,19
33.0,116,1,2,0,75,0.0,140.0,5.0,5060.0,6447.0,5837.4162,3,2016,0,13
34.0,24,1,4,0,5,0.0,283.0,14.0,2771.0,3765.0,3555.224442,9,2015,1,39
27.0,469,0,1,0,85,0.0,173.0,,3667.0,4955.0,4423.254528,9,2015,2,39
25.0,358,1,1,3,31,0.0,120.0,15.0,1884.0,9968.0,6039.752775,9,2015,5,39
4.0,23,0,2,2,68,0.0,144.0,5.0,1100.0,1899.0,1627.8075,9,2015,2,39
12.0,452,1,3,0,44,1.0,337.0,9.0,6676.0,8570.0,1187.3808144000002,3,2016,4,11
12.0,471,1,5,2,79,0.0,227.0,13.0,2341.0,3673.0,3205.5309,1,2016,4,4
7.0,80,1,6,2,69,0.0,169.0,7.0,10458.0,16929.0,13733.3691,11,2015,2,47
10.0,38,1,5,3,21,0.0,240.0,16.0,3552.0,9955.0,6986.799225,3,2016,1,13
26.0,80,1,10,2,20,0.0,373.0,14.0,6388.0,10281.0,8522.988675,11,2015,1,47
1.0,443,1,6,0,82,1.0,126.0,5.0,5985.0,8551.0,1093.6656192,8,2015,2,34
41.0,268,1,9,0,58,1.0,476.0,7.0,1947.0,3754.0,496.07964000000004,2,2016,4,5
36.0,11,1,6,3,21,0.0,103.0,9.0,408.0,2100.0,1354.734675,3,2016,1,13
27.0,3,0,8,0,85,1.0,271.0,2.0,2693.0,5264.0,628.3643519999999,3,2016,1,13
26.0,165,1,2,0,92,0.0,106.0,5.0,3908.0,6010.0,4994.508288,5,2015,3,21
30.0,444,1,5,2,100,0.0,257.0,16.0,4028.0,6176.0,5246.3989,11,2015,5,47
45.0,40,1,8,0,12,0.0,233.0,1.0,3781.0,6563.0,5404.979448,5,2015,5,19
4.0,450,0,8,0,96,0.0,223.0,1.0,1134.0,4511.0,3001.920768,9,2015,2,39
42.0,129,1,6,0,53,0.0,195.0,11.0,911.0,2977.0,2127.4367039999997,9,2015,2,39
32.0,407,1,2,0,19,0.0,119.0,,3027.0,4410.0,3839.7159899999997,5,2015,1,19
15.0,437,0,7,0,74,0.0,254.0,14.0,3885.0,5485.0,4896.1044,1,2015,0,4
19.0,23,1,8,2,60,0.0,202.0,7.0,1124.0,2646.0,2041.3328,8,2015,1,34
41.0,80,1,2,2,57,1.0,113.0,9.0,3008.0,8375.0,865.8657648,3,2016,0,13
42.0,113,1,4,0,63,0.0,256.0,15.0,8128.0,12076.0,10269.4185,3,2016,4,11
28.0,24,1,2,0,22,0.0,148.0,8.0,6102.0,14548.9716796875,7507.584,11,2015,5,47
33.0,58,0,7,0,2,1.0,315.0,6.0,4250.0,6012.0,817.2802638,1,2016,3,1
46.0,443,0,10,0,63,0.0,394.0,13.0,10631.0,14305.0,12749.4279,11,2015,4,47
40.0,90,0,3,0,47,0.0,254.0,11.0,522.0,1040.0,1029.2304960000001,8,2015,3,34
47.0,3,0,9,0,55,0.0,576.0,16.0,2230.0,2746.0,3048.344928,9,2015,2,39
17.0,447,1,3,0,9,1.0,291.0,13.0,2252.0,5193.0,602.6907249,11,2015,3,46
45.0,320,1,4,0,30,0.0,255.0,15.0,4469.0,11423.0,8192.3877,3,2016,5,11
47.0,358,0,5,3,81,0.0,268.0,17.0,2135.0,16144.0,9287.348224,3,2016,2,13
17.0,24,0,9,0,57,0.0,,7.0,3966.0,9381.263671875,5102.8812,9,2015,3,39
45.0,358,1,7,3,74,0.0,307.0,7.0,1600.0,17338.0,9684.8037,3,2016,6,12
12.0,451,0,9,0,14,0.0,530.0,13.0,4646.0,6702.0,6210.758862,8,2015,5,34
13.0,358,1,2,3,70,0.0,138.0,6.0,8971.0,16944.0,12972.2373,11,2015,4,46
42.0,443,1,10,0,8,0.0,392.0,13.0,3384.0,4717.0,4447.325223,9,2015,2,39
9.0,186,1,9,0,63,1.0,479.0,10.0,3807.0,5820.0,786.650535,3,2016,1,9
23.0,3,1,10,0,82,0.0,358.0,14.0,1570.0,2999.0,2607.60192,9,2015,1,39
27.0,11,1,9,3,52,0.0,545.0,10.0,639.0,1127.0,1419.735168,5,2015,3,19
8.0,447,1,3,0,22,0.0,285.0,10.0,4042.0,5662.0,5128.995375,5,2015,5,19
48.0,58,0,5,0,49,0.0,298.0,16.0,3682.0,5243.0,4737.127104,11,2015,1,47
31.0,469,1,8,0,19,0.0,284.0,7.0,5589.0,12791.521484375,6766.353297,7,2015,1,29
15.0,455,1,10,0,7,0.0,356.0,17.0,874.0,4248.0,2921.0578649999998,9,2015,2,39
38.0,469,1,6,0,39,0.0,122.0,11.0,3703.0,4716.0,4325.289675,9,2015,4,39
35.0,469,1,9,0,58,0.0,475.0,17.0,3989.0,5474.0,5181.166944,3,2016,1,13
36.0,14,0,8,0,100,0.0,285.0,2.0,3268.0,4546.0,4098.44245,9,2015,4,39
31.0,443,0,6,0,22,0.0,,10.0,4086.0,5998.0,5184.0474,11,2015,1,45
15.0,23,0,5,2,83,0.0,266.0,17.0,2133.0,10767.0,6630.091776,9,2015,3,39
2.0,93,0,8,2,74,0.0,226.0,3.0,2717.0,4524.0,3809.1141,2,2016,6,7
30.0,423,0,4,0,88,0.0,268.0,17.0,2629.0,8782.0,5897.041920000001,8,2015,2,34
35.0,23,0,3,2,25,0.0,261.0,12.0,1470.0,4795.0,3388.76685,12,2015,5,49
10.0,250,1,2,2,40,0.0,145.0,5.0,4034.0,5884.0,4991.5842,5,2015,1,19
16.0,121,1,10,0,37,0.0,365.0,14.0,1117.0,3469.0,2654.556975,1,2016,1,1
2.0,65,0,6,2,71,0.0,178.0,3.0,2712.0,4002.0,3500.6499,9,2015,5,39
47.0,358,1,3,3,23,0.0,262.0,14.0,2685.0,6965.0,5081.0256,8,2015,6,34
37.0,452,0,8,0,29,0.0,297.0,8.0,2707.0,3744.0,3516.2673,9,2015,1,39
39.0,14,1,8,0,88,0.0,295.0,8.0,7314.0,11577.9296875,,11,2015,5,47
47.0,443,0,8,0,21,0.0,235.0,9.0,6210.0,8502.0,7578.62595,8,2015,6,33
28.0,55,1,3,0,86,0.0,291.0,5.0,4042.0,5251.0,4868.686592,3,2016,1,11
14.0,437,1,5,0,55,1.0,213.0,16.0,5266.0,8235.0,1039.449672,5,2015,2,21
37.0,1,0,5,0,83,0.0,268.0,10.0,2459.0,7692.0,5271.560447999999,5,2015,2,19
26.0,452,1,4,0,8,1.0,228.0,13.0,4245.0,5396.0,758.13967845,1,2016,0,1
47.0,3,1,10,0,61,1.0,364.0,15.0,1193.0,3130.0,375.51788999999997,12,2015,0,53
37.0,65,1,5,0,50,1.0,293.0,10.0,3680.0,5310.0,714.2742,8,2015,2,34
9.0,58,1,8,0,95,0.0,220.0,9.0,5372.0,7449.0,6540.707711999999,3,2016,1,13
43.0,55,1,7,0,58,0.0,340.0,10.0,2058.0,3842.0,3271.87512,9,2015,5,39
47.0,100,1,9,0,88,0.0,483.0,10.0,1052.0,2261.0,2110.327296,9,2015,1,39
50.0,358,1,3,3,40,0.0,318.0,5.0,576.0,1379.0,1266.830225,9,2015,4,39
21.0,57,0,6,0,36,0.0,137.0,11.0,3546.0,5325.0,4565.93655,10,2015,6,42
5.0,57,1,8,0,71,0.0,255.0,9.0,4052.0,7207.0,5830.6743,11,2015,3,46
26.0,268,0,8,2,58,0.0,233.0,5.0,1239.0,3287.0,2481.148368,1,2016,1,3
19.0,121,0,2,0,100,0.0,129.0,8.0,1114.0,3222.0,2247.008575,12,2015,6,49
18.0,93,1,7,1,41,1.0,333.0,8.0,1519.0,5559.0,577.5046632,8,2015,1,34
44.0,469,0,4,0,67,0.0,273.0,16.0,3558.0,4942.0,4484.502,1,2016,2,1
46.0,60,0,7,3,13,0.0,312.0,10.0,253.0,2718.0,1798.8101010000003,3,2016,0,13
42.0,224,1,9,0,6,0.0,521.0,12.0,2113.0,8421.0,5793.740568,3,2016,1,13
18.0,104,1,3,0,48,0.0,,7.0,3409.0,8173.0,6104.72808,8,2015,0,34
40.0,3,0,9,0,87,0.0,549.0,5.0,1373.0,2634.0,2516.7296,9,2015,3,39
5.0,471,1,4,2,53,1.0,234.0,16.0,2169.0,3375.0,448.67597760000007,2,2016,6,7
29.0,205,0,7,0,32,0.0,297.0,17.0,1868.0,2662.0,2559.435375,9,2015,1,39
41.0,198,1,2,0,33,0.0,117.0,5.0,2390.0,3424.0,3017.886375,9,2015,3,39
33.0,452,1,8,0,47,0.0,205.0,4.0,6804.0,10044.0,8577.122832,11,2015,5,47
33.0,452,1,5,0,28,0.0,296.0,12.0,6226.0,8542.0,7669.63785,8,2015,2,34
11.0,3,1,2,0,98,1.0,135.0,7.0,3090.0,4729.0,598.3439616000001,3,2016,1,13
34.0,45,0,2,1,16,0.0,132.0,7.0,2973.0,5478.0,4360.023954,1,2016,1,1
15.0,0,1,4,0,75,0.0,299.0,12.0,2826.0,6702.0,5018.0328,3,2016,2,13
8.0,58,1,10,0,68,0.0,351.0,14.0,4605.0,6248.0,5727.249,8,2015,4,34
47.0,198,0,6,0,24,0.0,121.0,1.0,3271.0,4395.0,3944.49405,10,2015,6,43
33.0,403,1,1,0,65,1.0,106.0,6.0,1410.0,2600.0,313.6617,8,2015,2,34
7.0,24,1,9,0,7,0.0,536.0,14.0,4787.0,6584.0,6228.837054,8,2015,5,33
41.0,70,0,4,2,29,0.0,289.0,13.0,2276.0,3443.0,3144.33945,2,2016,6,5
33.0,167,0,3,0,92,0.0,220.0,8.0,3012.0,4012.0,3681.0287359999998,9,2015,1,38
37.0,452,1,9,0,80,0.0,584.0,16.0,6015.0,8410.0,7632.3591,8,2015,1,34
9.0,121,0,6,0,65,1.0,182.0,6.0,1085.0,3607.0,375.617385,1,2016,2,1
25.0,214,1,4,0,98,0.0,250.0,12.0,4972.0,6909.0,6108.384128,3,2016,1,10
41.0,24,1,4,0,93,0.0,249.0,,5340.0,7107.0,6388.501504,8,2015,0,34
15.0,116,1,8,0,91,0.0,262.0,6.0,4627.0,6051.0,5523.49952,3,2016,1,13
31.0,14,0,2,0,45,0.0,126.0,6.0,2901.0,3967.0,3539.2628159999995,8,2015,6,34
48.0,57,1,8,0,96,0.0,259.0,4.0,3414.0,8156.0,5959.243136,3,2016,2,10
7.0,93,1,8,1,96,0.0,251.0,7.0,1977.0,5687.0,4026.846208,8,2015,1,34
45.0,268,0,1,2,96,0.0,148.0,8.0,1592.0,4907.0,3351.1385600000003,11,2014,5,44
24.0,23,1,5,0,15,0.0,254.0,13.0,4157.0,6394.0,5535.806364,8,2015,4,34
41.0,234,1,7,1,30,0.0,293.0,10.0,8264.0,11316.0,10067.558025,3,2016,2,13
8.0,451,0,2,0,68,0.0,,9.0,7902.0,9780.0,8862.4404,11,2015,4,47
13.0,250,0,9,0,83,0.0,636.0,,1746.0,5803.0,4352.941824,5,2015,2,19
30.0,188,0,3,0,89,0.0,255.0,,2457.0,5574.06103515625,3149.011712,9,2015,5,39
43.0,268,1,5,2,24,0.0,295.0,13.0,1245.0,4598.0,3212.24925,2,2016,5,5
25.0,58,1,5,0,79,1.0,251.0,14.0,6605.0,10068.0,1276.976745,3,2016,0,13
47.0,471,1,2,2,98,0.0,112.0,5.0,2397.0,3515.0,3025.2794879999997,12,2015,3,49
35.0,452,1,5,0,9,0.0,214.0,17.0,4227.0,6151.0,5411.278818,5,2015,4,19
34.0,451,0,5,0,3,0.0,227.0,,4715.0,6678.0,5932.586682,9,2015,5,39
24.0,452,1,1,0,58,0.0,117.0,10.0,6681.0,8411.0,7621.458479999999,8,2015,4,34
25.0,58,1,10,0,99,0.0,364.0,11.0,3169.0,4574.0,4178.707456,9,2015,1,39
4.0,167,0,10,0,78,0.0,379.0,13.0,4581.0,6964.0,6097.41,8,2015,3,34
37.0,58,1,9,0,73,0.0,517.0,5.0,5899.0,8111.0,7450.245,3,2016,0,13
31.0,452,1,5,0,29,0.0,253.0,11.0,3485.0,4726.0,4352.11245,11,2015,3,46
20.0,446,1,2,0,54,0.0,131.0,9.0,5043.0,6799.0,6018.563088,1,2016,6,53
11.0,98,1,5,0,9,1.0,239.0,16.0,1010.0,2355.0,288.59963715,1,2016,2,1
28.0,74,1,8,0,33,0.0,225.0,7.0,3460.0,8013.22265625,4383.43395,9,2015,2,39
6.0,447,1,4,0,2,0.0,254.0,14.0,5438.0,7792.0,6877.572174,8,2015,6,33
21.0,98,1,8,0,7,1.0,275.0,2.0,967.0,2163.0,276.01889535,2,2016,3,5
15.0,23,1,9,2,26,0.0,585.0,8.0,2170.0,11203.7734375,4839.281475,9,2015,2,39
40.0,124,0,8,0,89,0.0,258.0,7.0,2209.0,3193.0,2918.253184,1,2016,3,1
9.0,13,0,4,3,8,0.0,246.0,17.0,468.0,2095.0,1529.527032,8,2015,6,33
27.0,198,1,9,0,91,0.0,594.0,13.0,2138.0,3167.0,,9,2015,2,39
26.0,149,1,10,0,82,0.0,350.0,11.0,3154.0,4487.0,4114.58432,8,2015,5,34
44.0,113,1,2,0,22,0.0,126.0,9.0,1551.0,4865.0,3328.547775,9,2015,2,39
31.0,268,0,5,2,25,0.0,250.0,14.0,2806.0,4747.0,4021.710525,3,2016,0,11
50.0,294,1,7,2,1,0.0,312.0,10.0,1191.0,3379.0,2599.020072,9,2015,4,39
48.0,3,0,7,0,51,0.0,333.0,9.0,2621.0,3399.0,3324.297456,2,2016,2,7
27.0,115,1,6,0,58,0.0,150.0,11.0,2105.0,2850.0,2613.396528,8,2015,4,34
20.0,447,0,9,0,87,0.0,550.0,6.0,5637.0,7999.0,7265.931904000001,8,2015,2,34
10.0,443,1,5,0,22,0.0,252.0,10.0,4724.0,6548.0,5878.9059,5,2015,4,19
40.0,186,1,1,0,92,0.0,154.0,5.0,519.0,8002.0,4353.030528,3,2016,1,13
14.0,55,1,6,0,77,0.0,169.0,7.0,3829.0,6083.0,5077.1853,5,2015,2,19
46.0,453,0,1,0,35,0.0,104.0,8.0,4818.0,7038.0,6021.64815,1,2015,3,5
9.0,452,1,1,0,97,0.0,,7.0,2851.0,3406.0,3207.822464,9,2015,1,39
12.0,55,1,2,0,68,0.0,114.0,9.0,4115.0,5567.0,4909.7664,3,2016,6,9
